"github repo","repo description","HN post title","HN url","HN post date","relevancy score","num similar users","total user score","total stars"
google/EarlGrey,"iOS UI Automation Test Framework","iOS UI Automation Test Framework",https://github.com/google/EarlGrey,"2016-02-17 07:52:00",1.1585403705400998,38,6.564784074884088,289
google/EarlGrey,"iOS UI Automation Test Framework","Google just open-sourced their tool for testing iOS apps",https://github.com/google/EarlGrey,"2016-02-18 02:42:00",1.1585403705400998,38,6.564784074884088,289
google/EarlGrey,"iOS UI Automation Test Framework","Google Open Sources Earl Grey",https://github.com/google/EarlGrey,"2016-02-20 01:35:00",1.1585403705400998,38,6.564784074884088,289
nvdv/vprof,"Visual Python profiler","Visual profiler for Python",https://github.com/nvdv/vprof,"2016-02-22 20:06:00",1.153011949576525,38,7.254254399497639,540
vim/vim,"The official Vim repository","Vim cryptmethod is not authenticated",https://github.com/vim/vim/issues/638,"2016-02-19 19:55:00",1.0991285896761733,61,8.869244895247869,3195
jpillora/overseer,"Monitorable, gracefully restarting, self-upgrading binaries in Go (golang)","Overseer: Monitorable, gracefully restarting, self-upgrading binaries in Go",https://github.com/jpillora/overseer,"2016-02-17 00:29:00",1.0185860920829966,29,5.2252434848150795,169
johnkerl/miller,"Miller is like sed, awk, cut, join, and sort for name-indexed data such as CSV and tabular JSON","Miller 3.4.0: JSON, reshape, regex-captures, and more",https://github.com/johnkerl/miller/releases/tag/v3.4.0,"2016-02-14 16:08:00",0.9999703175798627,39,6.419804367160405,614
watson/awesome-computer-history,"An Awesome List of computer history videos, documentaries and related folklore","Awesome Computer History",https://github.com/watson/awesome-computer-history,"2016-02-13 00:28:00",0.9916773829268674,38,6.168818580145106,503
sindresorhus/caprine,"Unofficial Facebook Messenger app","Caprine – Facebook Messenger desktop app",https://github.com/sindresorhus/caprine,"2016-02-06 22:35:00",0.9459885086953616,37,6.215979774355382,714
dotnet/roslyn,"The .NET Compiler Platform (""Roslyn"") provides open-source C# and Visual Basic compilers with rich code analysis APIs.","C# Interactive Window- REPL for VS and Command Line",https://github.com/dotnet/roslyn/wiki/Interactive-Window,"2016-02-22 06:25:00",0.869263728104656,44,7.304534577409093,4461
Masterminds/glide,"Vendor Package Management for Golang","Glide, a vendor package manager for Go",https://github.com/Masterminds/glide,"2016-02-12 19:54:00",0.7617628896924108,34,5.267385386282676,1007
marten-de-vries/kneden,"Transpile ES7 async/await to vanilla ES6 Promise chains: a Babel plugin","Show HN: Kneden – Transpile ES7 Async/await to ES6 Promise Chains (Babel Plugin)",https://github.com/marten-de-vries/kneden,"2016-02-13 05:47:00",0.7444289571530496,20,3.5257632718082057,114
thoughtbot/laptop,"A shell script which turns your OS X laptop into an awesome web development machine.","Thoughtbot's Laptop",https://github.com/thoughtbot/laptop,"2016-02-15 00:13:00",0.7053945329267357,45,6.022364994105948,5103
nlohmann/json,"JSON for Modern C++","JSON for Modern C++",https://github.com/nlohmann/json#readme,"2016-02-19 17:57:00",0.7004686519107106,29,5.347952547720438,2069
macdao/ocds-guide-to-setting-up-mac,"OCD's Guide to Setting up Mac","Mac Setup Guide for OCD",https://github.com/macdao/ocds-guide-to-setting-up-mac/blob/master/README.en.md,"2016-02-28 09:32:00",0.6878350968106215,31,5.0102835696008965,1457
maurosoria/dirsearch,"Web path checker","Dirsearch – cmd tool designed to brute force directories and files in websites",https://github.com/maurosoria/dirsearch,"2016-02-16 09:10:00",0.6772462886878626,28,3.703223436905798,237
otoolep/rqlite,"Replicating SQLite using the Raft consensus protocol","Rqlite: Replicated SQLite using the Raft consensus protocol",https://github.com/otoolep/rqlite,"2016-02-27 18:27:00",0.6430662874223714,27,4.3451554259173975,860
red/red,"Red is a next-generation programming language strongly inspired by Rebol, but with a broader field of usage thanks to its native-code compiler, from system programming to high-level scripting and cross-platform reactive GUI, while providing modern support","Red View Graphic System",https://github.com/red/red/wiki/Red-View-Graphic-System,"2016-02-21 18:49:00",0.6403715344963988,33,4.26606214279511,782
python/cpython,"Semi-official read-only mirror of the CPython Mercurial repository","Python 3.4 supports only 100 regex groups",https://github.com/python/cpython/blob/3.4/Lib/sre_compile.py#L577,"2016-02-20 13:23:00",0.6086810970258475,26,4.442425570968902,1478
BlueOakJS/blueoak-server,"express.js-based, swagger-matic, server runtime","Show HN: Get Started Developing Swagger API with BlueOakJS",https://github.com/BlueOakJS/blueoak-server/wiki/Getting-Started#using-swagger,"2016-02-15 19:15:00",0.5956230165625249,16,2.7429453579620313,100
